Country,Production (tonnes)
Brazil,3405267
Vietnam,1956782
Indonesia,760192
Colombia,680858
Ethiopia,559400
Honduras,384361
Uganda,384000
Peru,369551
India,332848
Central African Republic,316108
Guatemala,225327
Guinea,200000
Mexico,194916
Laos,177662
Nicaragua,143337
Chinaβ,108000
Ivory Coast,91327
Costa Rica,78822
Tanzania,62917
Democratic Republic of the Congo,62217
Venezuela,56381
Madagascar,49344
Kenya,48700
Papua New Guinea,45371
El Salvador,32326
Yemen,30291
Philippines,30023
Rwanda,27104
Cambodia,24266
Bolivia,23579
Dominican Republic,23446
Togo,22895
Angola,20071
Thailand,16575
Panama,12760
Malawi,11000
Other nations and territories,96180
World,11064205
